Year,Country,Region,Happiness Rank,Happiness Score,Economy,Family,Freedom,Generosity,Health,Trust,Dystopia Residual,Standard Error
2015,Switzerland,Western Europe,1,7.5870,1.3965,1.3495,0.6656,0.2968,0.9414,0.4198,2.5174,0.0341
2015,Iceland,Western Europe,2,7.5610,1.3023,1.4022,0.6288,0.4363,0.9478,0.1415,2.7020,0.0488
2015,Denmark,Western Europe,3,7.5270,1.3255,1.3606,0.6494,0.3414,0.8746,0.4836,2.4920,0.0333
2015,Norway,Western Europe,4,7.5220,1.4590,1.3310,0.6697,0.3470,0.8852,0.3650,2.4653,0.0388
2015,Canada,North America,5,7.4270,1.3263,1.3226,0.6330,0.4581,0.9056,0.3296,2.4518,0.0355
2015,Finland,Western Europe,6,7.4060,1.2903,1.3183,0.6417,0.2335,0.8891,0.4137,2.6196,0.0314
2015,Netherlands,Western Europe,7,7.3780,1.3294,1.2802,0.6158,0.4761,0.8928,0.3181,2.4657,0.0280
2015,Sweden,Western Europe,8,7.3640,1.3317,1.2891,0.6598,0.3626,0.9109,0.4384,2.3712,0.0316
2015,New Zealand,Australia and New Zealand,9,7.2860,1.2502,1.3197,0.6394,0.4750,0.9084,0.4292,2.2643,0.0337
2015,Australia,Australia and New Zealand,10,7.2840,1.3336,1.3092,0.6512,0.4356,0.9316,0.3564,2.2665,0.0408
2015,Israel,Middle East and Northern Africa,11,7.2780,1.2286,1.2239,0.4132,0.3317,0.9139,0.0779,3.0885,0.0347
2015,Costa Rica,Latin America and Caribbean,12,7.2260,0.9558,1.2379,0.6338,0.2550,0.8603,0.1058,3.1773,0.0445
2015,Austria,Western Europe,13,7.2000,1.3372,1.2970,0.6243,0.3309,0.8904,0.1868,2.5332,0.0375
2015,Mexico,Latin America and Caribbean,14,7.1870,1.0205,0.9145,0.4818,0.1407,0.8144,0.2131,3.6021,0.0418
2015,United States,North America,15,7.1190,1.3945,1.2471,0.5460,0.4011,0.8618,0.1589,2.5101,0.0384
2015,Brazil,Latin America and Caribbean,16,6.9830,0.9812,1.2329,0.4905,0.1457,0.6970,0.1752,3.2600,0.0408
2015,Luxembourg,Western Europe,17,6.9460,1.5639,1.2196,0.6158,0.2803,0.9189,0.3780,1.9696,0.0350
2015,Ireland,Western Europe,18,6.9400,1.3360,1.3695,0.6178,0.4590,0.8953,0.2870,1.9757,0.0368
2015,Belgium,Western Europe,19,6.9370,1.3078,1.2857,0.5845,0.2225,0.8967,0.2254,2.4148,0.0360
2015,United Arab Emirates,Middle East and Northern Africa,20,6.9010,1.4273,1.1258,0.6416,0.2643,0.8093,0.3858,2.2474,0.0373
2015,United Kingdom,Western Europe,21,6.8670,1.2664,1.2855,0.5963,0.5191,0.9094,0.3207,1.9699,0.0187
2015,Oman,Middle East and Northern Africa,22,6.8530,1.3601,1.0818,0.6327,0.2154,0.7628,0.3252,2.4749,0.0534
2015,Venezuela,Latin America and Caribbean,23,6.8100,1.0442,1.2560,0.4291,0.0584,0.7205,0.1107,3.1913,0.0648
2015,Singapore,Southeastern Asia,24,6.7980,1.5219,1.0200,0.5425,0.3111,1.0253,0.4921,1.8850,0.0378
2015,Panama,Latin America and Caribbean,25,6.7860,1.0635,1.1985,0.5421,0.2443,0.7966,0.0927,2.8485,0.0491
2015,Germany,Western Europe,26,6.7500,1.3279,1.2994,0.6148,0.2821,0.8919,0.2184,2.1157,0.0185
2015,Chile,Latin America and Caribbean,27,6.6700,1.1072,1.1245,0.4413,0.3336,0.8586,0.1287,2.6759,0.0580
2015,Qatar,Middle East and Northern Africa,28,6.6110,1.6904,1.0786,0.6404,0.3257,0.7973,0.5221,1.5567,0.0626
2015,France,Western Europe,29,6.5750,1.2778,1.2604,0.5501,0.1233,0.9458,0.2065,2.2113,0.0351
2015,Argentina,Latin America and Caribbean,30,6.5740,1.0535,1.2482,0.4497,0.1145,0.7872,0.0848,2.8360,0.0461
2015,Czech Republic,Central and Eastern Europe,31,6.5050,1.1790,1.2064,0.4636,0.1069,0.8448,0.0265,2.6778,0.0417
2015,Uruguay,Latin America and Caribbean,32,6.4850,1.0617,1.2089,0.6036,0.2324,0.8116,0.2456,2.3214,0.0454
2015,Colombia,Latin America and Caribbean,33,6.4770,0.9186,1.2402,0.5347,0.1840,0.6908,0.0512,2.8574,0.0505
2015,Thailand,Southeastern Asia,34,6.4550,0.9669,1.2650,0.5566,0.5763,0.7385,0.0319,2.3195,0.0356
2015,Saudi Arabia,Middle East and Northern Africa,35,6.4110,1.3954,1.0839,0.3105,0.1371,0.7203,0.3252,2.4387,0.0463
2015,Spain,Western Europe,36,6.3290,1.2301,1.3138,0.4595,0.1823,0.9556,0.0640,2.1237,0.0347
2015,Malta,Western Europe,37,6.3020,1.2074,1.3020,0.6037,0.5175,0.8872,0.1359,1.6488,0.0421
2015,Taiwan,Eastern Asia,38,6.2980,1.2910,1.0762,0.3974,0.2538,0.8753,0.0813,2.3232,0.0387
2015,Kuwait,Middle East and Northern Africa,39,6.2950,1.5542,1.1659,0.5550,0.1623,0.7249,0.2561,1.8763,0.0446
2015,Suriname,Latin America and Caribbean,40,6.2690,0.9953,0.9720,0.5966,0.1699,0.6082,0.1363,2.7909,0.0981
2015,Trinidad and Tobago,Latin America and Caribbean,41,6.1680,1.2118,1.1835,0.5588,0.3184,0.6148,0.0114,2.2688,0.1090
2015,El Salvador,Latin America and Caribbean,42,6.1300,0.7645,1.0251,0.4035,0.1069,0.6774,0.1178,3.0350,0.0562
2015,Guatemala,Latin America and Caribbean,43,6.1230,0.7455,1.0436,0.5773,0.2749,0.6443,0.0947,2.7426,0.0522
2015,Uzbekistan,Central and Eastern Europe,44,6.0030,0.6324,1.3404,0.6582,0.2284,0.5977,0.3083,2.2374,0.0436
2015,Slovakia,Central and Eastern Europe,45,5.9950,1.1689,1.2700,0.3175,0.1689,0.7890,0.0343,2.2464,0.0427
2015,Japan,Eastern Asia,46,5.9870,1.2707,1.2571,0.4962,0.1071,0.9911,0.1806,1.6844,0.0358
