Year,Country,Region,Happiness Rank,Happiness Score,Economy,Family,Freedom,Generosity,Health,Trust,Dystopia Residual,Lower Confidence Interval,Upper Confidence Interval
2016,Denmark,Western Europe,1,7.5260,1.4418,1.1637,0.5794,0.3617,0.7950,0.4445,2.7394,7.4600,7.5920
2016,Switzerland,Western Europe,2,7.5090,1.5273,1.1452,0.5856,0.2808,0.8630,0.4120,2.6946,7.4280,7.5900
2016,Iceland,Western Europe,3,7.5010,1.4267,1.1833,0.5662,0.4768,0.8673,0.1498,2.8314,7.3330,7.6690
2016,Norway,Western Europe,4,7.4980,1.5774,1.1269,0.5961,0.3790,0.7958,0.3578,2.6647,7.4210,7.5750
2016,Finland,Western Europe,5,7.4130,1.4060,1.1346,0.5710,0.2549,0.8109,0.4100,2.8260,7.3510,7.4750
2016,Canada,North America,6,7.4040,1.4402,1.0961,0.5737,0.4483,0.8276,0.3133,2.7049,7.3350,7.4730
2016,Netherlands,Western Europe,7,7.3390,1.4647,1.0291,0.5521,0.4742,0.8123,0.2993,2.7075,7.2840,7.3940
2016,New Zealand,Australia and New Zealand,8,7.3340,1.3607,1.1728,0.5815,0.4940,0.8310,0.4190,2.4755,7.2640,7.4040
2016,Australia,Australia and New Zealand,9,7.3130,1.4444,1.1048,0.5684,0.4741,0.8512,0.3233,2.5465,7.2410,7.3850
2016,Sweden,Western Europe,10,7.2910,1.4518,1.0876,0.5822,0.3825,0.8312,0.4087,2.5473,7.2270,7.3550
2016,Israel,Middle East and Northern Africa,11,7.2670,1.3377,0.9954,0.3643,0.3229,0.8492,0.0873,3.3103,7.1990,7.3350
2016,Austria,Western Europe,12,7.1190,1.4504,1.0838,0.5436,0.3287,0.8057,0.2135,2.6934,7.0450,7.1930
2016,United States,North America,13,7.1040,1.5080,1.0478,0.4816,0.4108,0.7790,0.1487,2.7278,7.0200,7.1880
2016,Costa Rica,Latin America and Caribbean,14,7.0870,1.0688,1.0215,0.5523,0.2255,0.7615,0.1055,3.3517,6.9990,7.1750
2016,Puerto Rico,Latin America and Caribbean,15,7.0390,1.3594,1.0811,0.4682,0.2220,0.7776,0.1228,3.0076,6.7940,7.2840
2016,Germany,Western Europe,16,6.9940,1.4479,1.0977,0.5347,0.3045,0.8149,0.2855,2.5093,6.9300,7.0580
2016,Brazil,Latin America and Caribbean,17,6.9520,1.0875,1.0394,0.4043,0.1578,0.6142,0.1417,3.5073,6.8750,7.0290
2016,Belgium,Western Europe,18,6.9290,1.4254,1.0525,0.5135,0.2424,0.8196,0.2625,2.6136,6.8610,6.9970
2016,Ireland,Western Europe,19,6.9070,1.4834,1.1616,0.5401,0.4496,0.8146,0.2975,2.1599,6.8360,6.9780
2016,Luxembourg,Western Europe,20,6.8710,1.6975,1.0400,0.5487,0.2757,0.8454,0.3533,2.1106,6.8040,6.9380
2016,Mexico,Latin America and Caribbean,21,6.7780,1.1151,0.7146,0.3771,0.1174,0.7114,0.1836,3.5591,6.6800,6.8760
2016,Singapore,Southeastern Asia,22,6.7390,1.6456,0.8676,0.4877,0.3271,0.9472,0.4699,1.9938,6.6740,6.8040
2016,United Kingdom,Western Europe,23,6.7250,1.4028,1.0867,0.5004,0.5016,0.8099,0.2740,2.1500,6.6470,6.8030
2016,Chile,Latin America and Caribbean,24,6.7050,1.2167,0.9059,0.3779,0.3160,0.8188,0.1145,2.9551,6.6150,6.7950
2016,Panama,Latin America and Caribbean,25,6.7010,1.1831,0.9891,0.4893,0.2418,0.7084,0.0842,3.0056,6.6010,6.8010
2016,Argentina,Latin America and Caribbean,26,6.6500,1.1514,1.0661,0.4228,0.1099,0.6971,0.0730,3.1299,6.5600,6.7400
2016,Czech Republic,Central and Eastern Europe,27,6.5960,1.3092,1.0079,0.4142,0.0993,0.7638,0.0399,2.9621,6.5150,6.6770
2016,United Arab Emirates,Middle East and Northern Africa,28,6.5730,1.5735,0.8711,0.5622,0.2659,0.7299,0.3556,2.2151,6.4940,6.6520
2016,Uruguay,Latin America and Caribbean,29,6.5450,1.1816,1.0314,0.5439,0.1806,0.7218,0.2139,2.6714,6.4560,6.6340
2016,Malta,Western Europe,30,6.4880,1.3078,1.0988,0.5499,0.5624,0.8032,0.1755,1.9903,6.4090,6.5670
2016,Colombia,Latin America and Caribbean,31,6.4810,1.0303,1.0217,0.4474,0.1563,0.5966,0.0540,3.1747,6.3840,6.5780
2016,France,Western Europe,32,6.4780,1.3949,1.0051,0.4656,0.1216,0.8380,0.1781,2.4744,6.3970,6.5590
2016,Thailand,Southeastern Asia,33,6.4740,1.0893,1.0448,0.4955,0.5870,0.6492,0.0283,2.5796,6.3960,6.5520
