Year,Country,Region,Happiness Rank,Happiness Score,Economy,Family,Freedom,Generosity,Health,Trust
2019,Finland,Western Europe,1,7.7690,1.3400,1.5870,0.5960,0.1530,0.9860,0.3930
2019,Denmark,Western Europe,2,7.6000,1.3830,1.5730,0.5920,0.2520,0.9960,0.4100
2019,Norway,Western Europe,3,7.5540,1.4880,1.5820,0.6030,0.2710,1.0280,0.3410
2019,Iceland,Western Europe,4,7.4940,1.3800,1.6240,0.5910,0.3540,1.0260,0.1180
2019,Netherlands,Western Europe,5,7.4880,1.3960,1.5220,0.5570,0.3220,0.9990,0.2980
2019,Switzerland,Western Europe,6,7.4800,1.4520,1.5260,0.5720,0.2630,1.0520,0.3430
2019,Sweden,Western Europe,7,7.3430,1.3870,1.4870,0.5740,0.2670,1.0090,0.3730
2019,New Zealand,Australia and New Zealand,8,7.3070,1.3030,1.5570,0.5850,0.3300,1.0260,0.3800
2019,Canada,North America,9,7.2780,1.3650,1.5050,0.5840,0.2850,1.0390,0.3080
2019,Austria,Western Europe,10,7.2460,1.3760,1.4750,0.5320,0.2440,1.0160,0.2260
2019,Australia,Australia and New Zealand,11,7.2280,1.3720,1.5480,0.5570,0.3320,1.0360,0.2900
2019,Costa Rica,Latin America and Caribbean,12,7.1670,1.0340,1.4410,0.5580,0.1440,0.9630,0.0930
2019,Israel,Middle East and Northern Africa,13,7.1390,1.2760,1.4550,0.3710,0.2610,1.0290,0.0820
2019,Luxembourg,Western Europe,14,7.0900,1.6090,1.4790,0.5260,0.1940,1.0120,0.3160
2019,United Kingdom,Western Europe,15,7.0540,1.3330,1.5380,0.4500,0.3480,0.9960,0.2780
2019,Ireland,Western Europe,16,7.0210,1.4990,1.5530,0.5160,0.2980,0.9990,0.3100
2019,Germany,Western Europe,17,6.9850,1.3730,1.4540,0.4950,0.2610,0.9870,0.2650
2019,Belgium,Western Europe,18,6.9230,1.3560,1.5040,0.4730,0.1600,0.9860,0.2100
2019,United States,North America,19,6.8920,1.4330,1.4570,0.4540,0.2800,0.8740,0.1280
2019,Czech Republic,Central and Eastern Europe,20,6.8520,1.2690,1.4870,0.4570,0.0460,0.9200,0.0360
2019,United Arab Emirates,Middle East and Northern Africa,21,6.8250,1.5030,1.3100,0.5980,0.2620,0.8250,0.1820
2019,Malta,Western Europe,22,6.7260,1.3000,1.5200,0.5640,0.3750,0.9990,0.1510
2019,Mexico,Latin America and Caribbean,23,6.5950,1.0700,1.3230,0.4330,0.0740,0.8610,0.0730
2019,France,Western Europe,24,6.5920,1.3240,1.4720,0.4360,0.1110,1.0450,0.1830
2019,Taiwan,Eastern Asia,25,6.4460,1.3680,1.4300,0.3510,0.2420,0.9140,0.0970
2019,Chile,Latin America and Caribbean,26,6.4440,1.1590,1.3690,0.3570,0.1870,0.9200,0.0560
2019,Guatemala,Latin America and Caribbean,27,6.4360,0.8000,1.2690,0.5350,0.1750,0.7460,0.0780
2019,Saudi Arabia,Middle East and Northern Africa,28,6.3750,1.4030,1.3570,0.4390,0.0800,0.7950,0.1320
2019,Qatar,Middle East and Northern Africa,29,6.3740,1.6840,1.3130,0.5550,0.2200,0.8710,0.1670
2019,Spain,Western Europe,30,6.3540,1.2860,1.4840,0.3620,0.1530,1.0620,0.0790
2019,Panama,Latin America and Caribbean,31,6.3210,1.1490,1.4420,0.5160,0.1090,0.9100,0.0540
2019,Brazil,Latin America and Caribbean,32,6.3000,1.0040,1.4390,0.3900,0.0990,0.8020,0.0860
2019,Uruguay,Latin America and Caribbean,33,6.2930,1.1240,1.4650,0.5230,0.1270,0.8910,0.1500
2019,Singapore,Southeastern Asia,34,6.2620,1.5720,1.4630,0.5560,0.2710,1.1410,0.4530
2019,El Salvador,Latin America and Caribbean,35,6.2530,0.7940,1.2420,0.4300,0.0930,0.7890,0.0740
2019,Italy,Western Europe,36,6.2230,1.2940,1.4880,0.2310,0.1580,1.0390,0.0300
2019,Bahrain,Middle East and Northern Africa,37,6.1990,1.3620,1.3680,0.5360,0.2550,0.8710,0.1100
2019,Slovakia,Central and Eastern Europe,38,6.1980,1.2460,1.5040,0.3340,0.1210,0.8810,0.0140
2019,Trinidad & Tobago,Latin America and Caribbean,39,6.1920,1.2310,1.4770,0.4890,0.1850,0.7130,0.0160
2019,Poland,Central and Eastern Europe,40,6.1820,1.2060,1.4380,0.4830,0.1170,0.8840,0.0500
2019,Uzbekistan,Central and Eastern Europe,41,6.1740,0.7450,1.5290,0.6310,0.3220,0.7560,0.2400
2019,Lithuania,Central and Eastern Europe,42,6.1490,1.2380,1.5150,0.2910,0.0430,0.8180,0.0420
2019,Colombia,Latin America and Caribbean,43,6.1250,0.9850,1.4100,0.4700,0.0990,0.8410,0.0340
2019,Slovenia,Central and Eastern Europe,44,6.1180,1.2580,1.5230,0.5640,0.1440,0.9530,0.0570
2019,Nicaragua,Latin America and Caribbean,45,6.1050,0.6940,1.3250,0.4350,0.2000,0.8350,0.1270
2019,Kosovo,Central and Eastern Europe,46,6.1000,0.8820,1.2320,0.4890,0.2620,0.7580,0.0060
2019,Argentina,Latin America and Caribbean,47,6.0860,1.0920,1.4320,0.4710,0.0660,0.8810,0.0500
