,Country,Economy
0,Switzerland,1.3965
1,Iceland,1.3023
2,Denmark,1.3255
3,Norway,1.459
4,Canada,1.3263
5,Finland,1.2903
6,Netherlands,1.3294
7,Sweden,1.3317
8,New Zealand,1.2502
9,Australia,1.3336
10,Israel,1.2286
11,Costa Rica,0.9558
12,Austria,1.3372
13,Mexico,1.0205
14,United States,1.3945
15,Brazil,0.9812
16,Luxembourg,1.5639
17,Ireland,1.336
18,Belgium,1.3078
19,United Arab Emirates,1.4273
20,United Kingdom,1.2664
22,Venezuela,1.0442
23,Singapore,1.5219
24,Panama,1.0635
25,Germany,1.3279
26,Chile,1.1072
27,Qatar,1.6904
28,France,1.2778
29,Argentina,1.0535
30,Czech Republic,1.179
31,Uruguay,1.0617
32,Colombia,0.9186
33,Thailand,0.9669
34,Saudi Arabia,1.3954
35,Spain,1.2301
36,Malta,1.2074
37,Taiwan,1.291
38,Kuwait,1.5542
39,Suriname,0.9953
40,Trinidad and Tobago,1.2118
41,El Salvador,0.7645
42,Guatemala,0.7455
43,Uzbekistan,0.6324
44,Slovakia,1.1689
45,Japan,1.2707
46,South Korea,1.2446
47,Ecuador,0.864
48,Bahrain,1.3238
49,Italy,1.2511
50,Bolivia,0.6813
51,Moldova,0.5945
52,Paraguay,0.7599
53,Kazakhstan,1.1225
54,Slovenia,1.185
55,Lithuania,1.1472
56,Nicaragua,0.5933
57,Peru,0.9002
58,Belarus,1.0319
59,Poland,1.1256
60,Malaysia,1.1249
61,Croatia,1.0825
62,Libya,1.1315
63,Russia,1.1376
64,Jamaica,0.8104
65,North Cyprus,1.2081
66,Cyprus,1.2081
67,Algeria,0.9393
68,Kosovo,0.8015
69,Turkmenistan,0.9585
70,Mauritius,1.0076
71,Hong Kong,1.386
72,Estonia,1.1517
73,Indonesia,0.8283
74,Vietnam,0.6322
75,Turkey,1.061
76,Kyrgyzstan,0.4743
77,Nigeria,0.6544
78,Bhutan,0.7704
79,Azerbaijan,1.0239
80,Pakistan,0.5954
81,Jordan,0.902
82,Montenegro,0.9744
83,China,0.8901
84,Zambia,0.4704
85,Romania,1.0435
86,Serbia,0.9205
87,Portugal,1.1599
88,Latvia,1.1131
89,Philippines,0.7053
90,Somaliland Region,0.1885
91,Morocco,0.7348
92,Macedonia,0.9185
93,Mozambique,0.0831
94,Albania,0.8787
95,Bosnia and Herzegovina,0.8322
96,Lesotho,0.3755
97,Dominican Republic,0.8954
98,Laos,0.5907
99,Mongolia,0.8282
100,Swaziland,0.7121
101,Greece,1.1541
102,Lebanon,1.0256
103,Hungary,1.1209
104,Honduras,0.5953
105,Tajikistan,0.3905
106,Tunisia,0.8811
107,Palestinian Territories,0.5987
108,Bangladesh,0.3975
109,Iran,1.0088
110,Ukraine,0.7991
111,Iraq,0.9855
112,South Africa,0.9205
113,Ghana,0.5456
114,Zimbabwe,0.271
115,Liberia,0.0712
116,India,0.645
117,Sudan,0.5211
118,Haiti,0.2667
119,Congo (Kinshasa),0.0
120,Nepal,0.36
121,Ethiopia,0.1907
122,Sierra Leone,0.3302
123,Mauritania,0.4541
124,Kenya,0.3647
126,Armenia,0.7682
127,Botswana,0.9936
128,Myanmar,0.2711
129,Georgia,0.7419
130,Malawi,0.016
131,Sri Lanka,0.8352
132,Cameroon,0.4225
133,Bulgaria,1.0122
134,Egypt,0.8818
135,Yemen,0.5465
136,Angola,0.7578
137,Mali,0.2607
138,Congo (Brazzaville),0.6787
139,Comoros,0.2391
140,Uganda,0.211
141,Senegal,0.365
142,Gabon,1.0602
143,Niger,0.0694
144,Cambodia,0.4604
145,Tanzania,0.2852
146,Madagascar,0.2082
147,Central African Republic,0.0785
148,Chad,0.3419
149,Guinea,0.1742
150,Ivory Coast,0.4653
151,Burkina Faso,0.2581
152,Afghanistan,0.3198
153,Rwanda,0.2221
