,Country,Economy
0,Denmark,1.4418
1,Switzerland,1.5273
2,Iceland,1.4267
3,Norway,1.5774
4,Finland,1.406
5,Canada,1.4402
6,Netherlands,1.4647
7,New Zealand,1.3607
8,Australia,1.4444
9,Sweden,1.4518
10,Israel,1.3377
11,Austria,1.4504
12,United States,1.508
13,Costa Rica,1.0688
14,Germany,1.4479
15,Brazil,1.0875
16,Belgium,1.4254
17,Ireland,1.4834
18,Luxembourg,1.6975
19,Mexico,1.1151
20,Singapore,1.6456
21,United Kingdom,1.4028
22,Chile,1.2167
23,Panama,1.1831
24,Argentina,1.1514
25,Czech Republic,1.3092
26,United Arab Emirates,1.5735
27,Uruguay,1.1816
28,Malta,1.3078
29,Colombia,1.0303
30,France,1.3949
31,Thailand,1.0893
32,Saudi Arabia,1.4895
33,Taiwan,1.3973
34,Qatar,1.8243
35,Spain,1.3425
36,Algeria,1.0527
37,Guatemala,0.8345
38,Suriname,1.0969
39,Kuwait,1.6171
40,Bahrain,1.4402
41,Trinidad and Tobago,1.3257
42,Venezuela,1.1337
43,Slovakia,1.2797
44,El Salvador,0.8737
45,Malaysia,1.2514
46,Nicaragua,0.6938
47,Uzbekistan,0.7359
48,Italy,1.355
49,Ecuador,0.9731
50,Belize,0.8762
51,Japan,1.3801
52,Kazakhstan,1.2294
53,Moldova,0.6918
54,Russia,1.2323
55,Poland,1.2459
56,South Korea,1.3595
57,Bolivia,0.7942
58,Lithuania,1.2692
59,Belarus,1.1306
60,North Cyprus,1.3114
61,Slovenia,1.2995
62,Peru,0.996
63,Turkmenistan,1.0802
64,Mauritius,1.1437
65,Libya,1.0669
66,Latvia,1.2179
67,Cyprus,1.3186
68,Paraguay,0.8937
69,Romania,1.1697
70,Estonia,1.2796
71,Jamaica,0.8933
72,Croatia,1.1865
73,Hong Kong,1.5107
74,Somalia,0.0
75,Kosovo,0.9015
76,Turkey,1.1649
77,Indonesia,0.951
78,Jordan,0.9967
79,Azerbaijan,1.1237
80,Philippines,0.8122
81,China,1.0278
82,Bhutan,0.8527
83,Kyrgyzstan,0.5604
84,Serbia,1.0344
85,Bosnia and Herzegovina,0.9338
86,Montenegro,1.0784
87,Dominican Republic,1.0279
88,Morocco,0.8406
89,Hungary,1.2414
90,Pakistan,0.6882
91,Lebanon,1.1227
92,Portugal,1.2761
93,Macedonia,1.0193
94,Vietnam,0.7404
95,Somaliland Region,0.2556
96,Tunisia,0.9772
97,Greece,1.2489
98,Tajikistan,0.4884
99,Mongolia,0.9885
100,Laos,0.6804
101,Nigeria,0.7522
102,Honduras,0.6943
103,Iran,1.1176
104,Zambia,0.612
105,Nepal,0.4463
106,Palestinian Territories,0.6702
107,Albania,0.9553
108,Bangladesh,0.5418
109,Sierra Leone,0.3649
110,Iraq,1.0747
111,Namibia,0.9329
112,Cameroon,0.525
113,Ethiopia,0.2928
114,South Africa,1.0242
115,Sri Lanka,0.9732
116,India,0.7404
117,Myanmar,0.3411
118,Egypt,0.954
119,Armenia,0.8609
120,Kenya,0.5227
121,Ukraine,0.8729
122,Ghana,0.6311
123,Congo (Kinshasa),0.0566
124,Georgia,0.8379
125,Congo (Brazzaville),0.7711
126,Senegal,0.4431
127,Bulgaria,1.1131
128,Mauritania,0.6139
129,Zimbabwe,0.3504
130,Malawi,0.0871
131,Sudan,0.6307
132,Gabon,1.1585
133,Mali,0.3129
134,Haiti,0.341
135,Botswana,1.0943
136,Comoros,0.2751
137,Ivory Coast,0.5551
138,Cambodia,0.556
139,Angola,0.8473
140,Niger,0.1327
141,South Sudan,0.3939
142,Chad,0.4221
143,Burkina Faso,0.32
144,Uganda,0.3472
145,Yemen,0.5794
146,Madagascar,0.2795
147,Tanzania,0.4716
148,Liberia,0.1071
149,Guinea,0.2242
150,Rwanda,0.3285
151,Benin,0.395
152,Afghanistan,0.3823
153,Togo,0.2812
154,Syria,0.7472
155,Burundi,0.0683
