,Country,Economy
0,Norway,1.6165
1,Denmark,1.4824
2,Iceland,1.4806
3,Switzerland,1.565
4,Finland,1.4436
5,Netherlands,1.5039
6,Canada,1.4792
7,New Zealand,1.4057
8,Sweden,1.4944
9,Australia,1.4844
10,Israel,1.3754
11,Costa Rica,1.1097
12,Austria,1.4871
13,United States,1.5463
14,Ireland,1.5357
15,Germany,1.4879
16,Belgium,1.4638
17,Luxembourg,1.7419
18,United Kingdom,1.4416
19,Chile,1.2528
20,United Arab Emirates,1.6263
21,Brazil,1.1074
22,Czech Republic,1.3527
23,Argentina,1.1853
24,Mexico,1.1532
25,Singapore,1.6923
26,Malta,1.3433
27,Uruguay,1.2176
28,Guatemala,0.872
29,Panama,1.2337
30,France,1.4309
31,Thailand,1.1279
32,Taiwan,1.4336
33,Spain,1.3844
34,Qatar,1.8708
35,Colombia,1.0706
36,Saudi Arabia,1.5306
37,Trinidad and Tobago,1.3614
38,Kuwait,1.633
39,Slovakia,1.3254
40,Bahrain,1.4884
41,Malaysia,1.2912
42,Nicaragua,0.7373
43,Ecuador,1.0008
44,El Salvador,0.9098
45,Poland,1.2918
46,Uzbekistan,0.7864
47,Italy,1.3951
48,Russia,1.2818
49,Belize,0.908
50,Japan,1.4169
51,Lithuania,1.3146
52,Algeria,1.0919
53,Latvia,1.2607
54,South Korea,1.4017
55,Moldova,0.7289
56,Romania,1.2177
57,Bolivia,0.8338
58,Turkmenistan,1.1308
59,Kazakhstan,1.2846
60,North Cyprus,1.3469
61,Slovenia,1.3412
62,Peru,1.0352
63,Mauritius,1.1894
64,Cyprus,1.3559
65,Estonia,1.3209
66,Belarus,1.1566
67,Libya,1.1018
68,Turkey,1.1983
69,Paraguay,0.9325
70,Hong Kong,1.5517
71,Philippines,0.8577
72,Serbia,1.0693
73,Jordan,0.991
74,Hungary,1.286
75,Jamaica,0.9256
76,Croatia,1.2226
77,Kosovo,0.9515
78,China,1.0812
79,Pakistan,0.7269
80,Indonesia,0.9955
81,Venezuela,1.1284
82,Montenegro,1.1211
83,Morocco,0.8781
84,Azerbaijan,1.1536
85,Dominican Republic,1.0794
86,Greece,1.2895
87,Lebanon,1.075
88,Portugal,1.3152
89,Bosnia and Herzegovina,0.9824
90,Honduras,0.7306
91,Macedonia,1.0646
92,Somalia,0.0226
93,Vietnam,0.7885
94,Nigeria,0.7838
95,Tajikistan,0.5247
96,Bhutan,0.8854
97,Kyrgyzstan,0.5962
98,Nepal,0.4798
99,Mongolia,1.0272
100,South Africa,1.0547
101,Tunisia,1.0073
102,Palestinian Territories,0.7162
103,Egypt,0.9897
104,Bulgaria,1.1615
105,Sierra Leone,0.3684
106,Cameroon,0.5643
107,Iran,1.1569
108,Albania,0.9962
109,Bangladesh,0.5867
110,Namibia,0.9644
111,Kenya,0.5605
112,Mozambique,0.2343
113,Myanmar,0.3671
114,Senegal,0.4793
115,Zambia,0.6364
116,Iraq,1.1027
117,Gabon,1.1982
118,Ethiopia,0.3392
119,Sri Lanka,1.0099
120,Armenia,0.9006
121,India,0.7922
122,Mauritania,0.6485
123,Congo (Brazzaville),0.809
124,Georgia,0.9506
125,Congo (Kinshasa),0.0921
126,Mali,0.4762
127,Ivory Coast,0.603
128,Cambodia,0.6018
129,Sudan,0.6595
130,Ghana,0.6672
131,Ukraine,0.8947
132,Uganda,0.3814
133,Burkina Faso,0.3502
134,Niger,0.1619
135,Malawi,0.2334
136,Chad,0.438
137,Zimbabwe,0.3758
138,Lesotho,0.521
139,Angola,0.8584
140,Afghanistan,0.4015
141,Botswana,1.1221
142,Benin,0.4311
143,Madagascar,0.3058
144,Haiti,0.3686
145,Yemen,0.5917
146,South Sudan,0.3972
147,Liberia,0.119
148,Guinea,0.2445
149,Togo,0.3054
150,Rwanda,0.3687
151,Syria,0.7772
152,Tanzania,0.5111
153,Burundi,0.0916
154,Central African Republic,0.0
