,Country,Health
0,Switzerland,0.9414
1,Iceland,0.9478
2,Denmark,0.8746
3,Norway,0.8852
4,Canada,0.9056
5,Finland,0.8891
6,Netherlands,0.8928
7,Sweden,0.9109
8,New Zealand,0.9084
9,Australia,0.9316
10,Israel,0.9139
11,Costa Rica,0.8603
12,Austria,0.8904
13,Mexico,0.8144
14,United States,0.8618
15,Brazil,0.697
16,Luxembourg,0.9189
17,Ireland,0.8953
18,Belgium,0.8967
19,United Arab Emirates,0.8093
20,United Kingdom,0.9094
22,Venezuela,0.7205
23,Singapore,1.0253
24,Panama,0.7966
25,Germany,0.8919
26,Chile,0.8586
27,Qatar,0.7973
28,France,0.9458
29,Argentina,0.7872
30,Czech Republic,0.8448
31,Uruguay,0.8116
32,Colombia,0.6908
33,Thailand,0.7385
34,Saudi Arabia,0.7203
35,Spain,0.9556
36,Malta,0.8872
37,Taiwan,0.8753
38,Kuwait,0.7249
39,Suriname,0.6082
40,Trinidad and Tobago,0.6148
41,El Salvador,0.6774
42,Guatemala,0.6443
43,Uzbekistan,0.5977
44,Slovakia,0.789
45,Japan,0.9911
46,South Korea,0.9654
47,Ecuador,0.7908
48,Bahrain,0.7472
49,Italy,0.9545
50,Bolivia,0.5392
51,Moldova,0.6183
52,Paraguay,0.661
53,Kazakhstan,0.6437
54,Slovenia,0.8734
55,Lithuania,0.7313
56,Nicaragua,0.7431
57,Peru,0.7302
58,Belarus,0.7361
59,Poland,0.779
60,Malaysia,0.7239
61,Croatia,0.7881
62,Libya,0.7038
63,Russia,0.6693
64,Jamaica,0.6874
65,North Cyprus,0.9236
66,Cyprus,0.9236
67,Algeria,0.6177
68,Kosovo,0.6313
69,Turkmenistan,0.5389
70,Mauritius,0.7095
71,Hong Kong,1.0133
72,Estonia,0.7736
73,Indonesia,0.6379
74,Vietnam,0.7468
75,Turkey,0.7317
76,Kyrgyzstan,0.6509
77,Nigeria,0.1601
78,Bhutan,0.5741
79,Azerbaijan,0.6405
80,Pakistan,0.5147
81,Jordan,0.6964
82,Montenegro,0.7252
83,China,0.8166
84,Zambia,0.2992
85,Romania,0.7689
86,Serbia,0.7484
87,Portugal,0.8752
88,Latvia,0.7244
89,Philippines,0.5811
90,Somaliland Region,0.4387
91,Morocco,0.6095
92,Macedonia,0.7355
93,Mozambique,0.0913
94,Albania,0.8133
95,Bosnia and Herzegovina,0.7908
96,Lesotho,0.0761
97,Dominican Republic,0.6683
98,Laos,0.5491
99,Mongolia,0.6027
100,Swaziland,0.0757
101,Greece,0.8821
102,Lebanon,0.8395
103,Hungary,0.7591
104,Honduras,0.6951
105,Tajikistan,0.5738
106,Tunisia,0.7379
107,Palestinian Territories,0.6602
108,Bangladesh,0.6016
109,Iran,0.6981
110,Ukraine,0.6739
111,Iraq,0.6024
112,South Africa,0.2769
113,Ghana,0.4013
114,Zimbabwe,0.3348
115,Liberia,0.342
116,India,0.5153
117,Sudan,0.3688
118,Haiti,0.3885
119,Congo (Kinshasa),0.0981
120,Nepal,0.5687
121,Ethiopia,0.4406
122,Sierra Leone,0.0
123,Mauritania,0.3587
124,Kenya,0.4144
126,Armenia,0.7299
127,Botswana,0.0478
128,Myanmar,0.4825
129,Georgia,0.7293
130,Malawi,0.2256
131,Sri Lanka,0.7081
132,Cameroon,0.234
133,Bulgaria,0.7665
134,Egypt,0.6171
135,Yemen,0.4006
136,Angola,0.1668
137,Mali,0.2058
138,Congo (Brazzaville),0.3105
139,Comoros,0.3632
140,Uganda,0.3386
141,Senegal,0.4354
142,Gabon,0.4337
143,Niger,0.2971
144,Cambodia,0.6111
145,Tanzania,0.3822
146,Madagascar,0.4672
147,Central African Republic,0.067
148,Chad,0.1501
149,Guinea,0.2401
150,Ivory Coast,0.1519
151,Burkina Faso,0.2713
152,Afghanistan,0.3034
153,Rwanda,0.4286
154,Benin,0.3191
155,Syria,0.7219
156,Burundi,0.224
157,Togo,0.2844
0,Denmark,0.795
1,Switzerland,0.863
2,Iceland,0.8673
3,Norway,0.7958
4,Finland,0.8109
5,Canada,0.8276
6,Netherlands,0.8123
7,New Zealand,0.831
8,Australia,0.8512
9,Sweden,0.8312
10,Israel,0.8492
11,Austria,0.8057
12,United States,0.779
13,Costa Rica,0.7615
15,Germany,0.8149
16,Brazil,0.6142
17,Belgium,0.8196
18,Ireland,0.8146
19,Luxembourg,0.8454
20,Mexico,0.7114
21,Singapore,0.9472
22,United Kingdom,0.8099
23,Chile,0.8188
24,Panama,0.7084
25,Argentina,0.6971
26,Czech Republic,0.7638
27,United Arab Emirates,0.7299
28,Uruguay,0.7218
29,Malta,0.8032
30,Colombia,0.5966
31,France,0.838
32,Thailand,0.6492
33,Saudi Arabia,0.5927
34,Taiwan,0.7957
35,Qatar,0.7172
36,Spain,0.879
37,Algeria,0.618
38,Guatemala,0.5404
39,Suriname,0.5093
40,Kuwait,0.6357
41,Bahrain,0.657
42,Trinidad and Tobago,0.5261
43,Venezuela,0.619
44,Slovakia,0.7037
45,El Salvador,0.596
46,Malaysia,0.6237
47,Nicaragua,0.6521
48,Uzbekistan,0.5016
49,Italy,0.851
50,Ecuador,0.6861
51,Belize,0.4557
52,Japan,0.9149
53,Kazakhstan,0.5739
54,Moldova,0.5231
55,Russia,0.5899
56,Poland,0.6906
57,South Korea,0.8865
58,Bolivia,0.4697
59,Lithuania,0.6467
60,Belarus,0.631
61,North Cyprus,0.8414
62,Slovenia,0.7915
63,Peru,0.6299
64,Turkmenistan,0.4401
65,Mauritius,0.6619
66,Libya,0.523
67,Latvia,0.6395
68,Cyprus,0.8488
69,Paraguay,0.583
70,Romania,0.676
71,Estonia,0.681
72,Jamaica,0.5947
73,Croatia,0.7052
74,Hong Kong,0.9528
75,Somalia,0.1147
76,Kosovo,0.54
77,Turkey,0.6472
78,Indonesia,0.4937
79,Jordan,0.6071
80,Azerbaijan,0.545
81,Philippines,0.4704
82,China,0.7356
83,Bhutan,0.4976
84,Kyrgyzstan,0.5545
85,Serbia,0.6458
86,Bosnia and Herzegovina,0.7077
87,Montenegro,0.6353
88,Dominican Republic,0.5767
89,Morocco,0.5947
90,Hungary,0.6761
91,Pakistan,0.4031
92,Lebanon,0.7617
93,Portugal,0.7936
94,Macedonia,0.6474
95,Vietnam,0.6616
96,Somaliland Region,0.3311
97,Tunisia,0.5958
98,Greece,0.8003
99,Tajikistan,0.5312
100,Mongolia,0.5547
101,Laos,0.3829
102,Nigeria,0.0511
103,Honduras,0.5838
104,Iran,0.6423
105,Zambia,0.2357
106,Nepal,0.5007
107,Palestinian Territories,0.5684
108,Albania,0.7301
109,Bangladesh,0.5299
110,Sierra Leone,0.0
111,Iraq,0.5108
112,Namibia,0.3475
113,Cameroon,0.127
114,Ethiopia,0.3458
115,South Africa,0.1861
116,Sri Lanka,0.6201
117,India,0.4509
118,Myanmar,0.3988
119,Egypt,0.5212
120,Armenia,0.6408
121,Kenya,0.3015
122,Ukraine,0.5863
123,Ghana,0.2968
124,Congo (Kinshasa),0.188
125,Georgia,0.6404
126,Congo (Brazzaville),0.2821
127,Senegal,0.4046
128,Bulgaria,0.6781
129,Mauritania,0.2864
130,Zimbabwe,0.1595
131,Malawi,0.2936
132,Sudan,0.2976
133,Gabon,0.3494
134,Mali,0.1635
135,Haiti,0.2749
136,Botswana,0.3475
137,Comoros,0.2998
138,Ivory Coast,0.0448
139,Cambodia,0.4249
140,Angola,0.0499
141,Niger,0.2616
142,South Sudan,0.1578
143,Chad,0.0382
144,Burkina Faso,0.213
145,Uganda,0.1963
146,Yemen,0.3105
147,Madagascar,0.3711
148,Tanzania,0.357
149,Liberia,0.2317
150,Guinea,0.1883
151,Rwanda,0.3187
152,Benin,0.2103
153,Afghanistan,0.1734
154,Togo,0.2481
155,Syria,0.6299
156,Burundi,0.1575
0,Norway,0.7967
1,Denmark,0.7926
2,Iceland,0.8336
