,Country,Happiness Score
0,Denmark,7.526
1,Switzerland,7.509
2,Iceland,7.501
3,Norway,7.498
4,Finland,7.413
5,Canada,7.404
6,Netherlands,7.339
7,New Zealand,7.334
8,Australia,7.313
9,Sweden,7.291
10,Israel,7.267
11,Austria,7.119
12,United States,7.104
13,Costa Rica,7.087
14,Germany,6.994
15,Brazil,6.952
16,Belgium,6.929
17,Ireland,6.907
18,Luxembourg,6.871
19,Mexico,6.778
20,Singapore,6.739
21,United Kingdom,6.725
22,Chile,6.705
23,Panama,6.701
24,Argentina,6.65
25,Czech Republic,6.596
26,United Arab Emirates,6.573
27,Uruguay,6.545
28,Malta,6.488
29,Colombia,6.481
30,France,6.478
31,Thailand,6.474
32,Saudi Arabia,6.379
33,Taiwan,6.379
34,Qatar,6.375
35,Spain,6.361
36,Algeria,6.355
37,Guatemala,6.324
38,Suriname,6.269
39,Kuwait,6.239
40,Bahrain,6.218
41,Trinidad and Tobago,6.168
42,Venezuela,6.084
43,Slovakia,6.078
44,El Salvador,6.068
45,Malaysia,6.005
46,Nicaragua,5.992
47,Uzbekistan,5.987
48,Italy,5.977
49,Ecuador,5.976
50,Belize,5.956
51,Japan,5.921
52,Kazakhstan,5.919
53,Moldova,5.897
54,Russia,5.856
55,Poland,5.835
56,South Korea,5.835
57,Bolivia,5.822
58,Lithuania,5.813
59,Belarus,5.802
60,North Cyprus,5.771
61,Slovenia,5.768
62,Peru,5.743
63,Turkmenistan,5.658
64,Mauritius,5.648
65,Libya,5.615
66,Latvia,5.56
67,Cyprus,5.546
68,Paraguay,5.538
69,Romania,5.528
70,Estonia,5.517
71,Jamaica,5.51
72,Croatia,5.488
73,Hong Kong,5.458
74,Somalia,5.44
75,Kosovo,5.401
76,Turkey,5.389
77,Indonesia,5.314
78,Jordan,5.303
79,Azerbaijan,5.291
80,Philippines,5.279
81,China,5.245
82,Bhutan,5.196
83,Kyrgyzstan,5.185
84,Serbia,5.177
85,Bosnia and Herzegovina,5.163
86,Montenegro,5.161
87,Dominican Republic,5.155
88,Morocco,5.151
89,Hungary,5.145
90,Pakistan,5.132
91,Lebanon,5.129
92,Portugal,5.123
93,Macedonia,5.121
94,Vietnam,5.061
95,Somaliland Region,5.057
96,Tunisia,5.045
97,Greece,5.033
98,Tajikistan,4.996
99,Mongolia,4.907
100,Laos,4.876
101,Nigeria,4.875
102,Honduras,4.871
103,Iran,4.813
104,Zambia,4.795
105,Nepal,4.793
106,Palestinian Territories,4.754
107,Albania,4.655
108,Bangladesh,4.643
109,Sierra Leone,4.635
110,Iraq,4.575
111,Namibia,4.574
112,Cameroon,4.513
113,Ethiopia,4.508
114,South Africa,4.459
115,Sri Lanka,4.415
116,India,4.404
117,Myanmar,4.395
118,Egypt,4.362
119,Armenia,4.36
120,Kenya,4.356
121,Ukraine,4.324
122,Ghana,4.276
123,Congo (Kinshasa),4.272
124,Georgia,4.252
125,Congo (Brazzaville),4.236
126,Senegal,4.219
127,Bulgaria,4.217
128,Mauritania,4.201
129,Zimbabwe,4.193
130,Malawi,4.156
131,Sudan,4.139
132,Gabon,4.121
133,Mali,4.073
134,Haiti,4.028
135,Botswana,3.974
136,Comoros,3.956
137,Ivory Coast,3.916
138,Cambodia,3.907
139,Angola,3.866
140,Niger,3.856
141,South Sudan,3.832
142,Chad,3.763
143,Burkina Faso,3.739
144,Uganda,3.739
145,Yemen,3.724
146,Madagascar,3.695
147,Tanzania,3.666
148,Liberia,3.622
149,Guinea,3.607
150,Rwanda,3.515
151,Benin,3.484
152,Afghanistan,3.36
153,Togo,3.303
154,Syria,3.069
155,Burundi,2.905
