,Year,Country,Region,Happiness Rank,Happiness Score,Economy,Family,Freedom,Generosity,Health,Trust
0,2015,Switzerland,Western Europe,1,7.587,1.3965,1.3495,0.6656,0.2968,0.9414,0.4198
1,2015,Iceland,Western Europe,2,7.561,1.3023,1.4022,0.6288,0.4363,0.9478,0.1415
2,2015,Denmark,Western Europe,3,7.527,1.3255,1.3606,0.6494,0.3414,0.8746,0.4836
3,2015,Norway,Western Europe,4,7.522,1.459,1.331,0.6697,0.347,0.8852,0.365
4,2015,Canada,North America,5,7.427,1.3263,1.3226,0.633,0.4581,0.9056,0.3296
5,2015,Finland,Western Europe,6,7.406,1.2903,1.3183,0.6417,0.2335,0.8891,0.4137
6,2015,Netherlands,Western Europe,7,7.378,1.3294,1.2802,0.6158,0.4761,0.8928,0.3181
7,2015,Sweden,Western Europe,8,7.364,1.3317,1.2891,0.6598,0.3626,0.9109,0.4384
8,2015,New Zealand,Australia and New Zealand,9,7.286,1.2502,1.3197,0.6394,0.475,0.9084,0.4292
9,2015,Australia,Australia and New Zealand,10,7.284,1.3336,1.3092,0.6512,0.4356,0.9316,0.3564
10,2015,Israel,Middle East and Northern Africa,11,7.278,1.2286,1.2239,0.4132,0.3317,0.9139,0.0779
11,2015,Costa Rica,Latin America and Caribbean,12,7.226,0.9558,1.2379,0.6338,0.255,0.8603,0.1058
12,2015,Austria,Western Europe,13,7.2,1.3372,1.297,0.6243,0.3309,0.8904,0.1868
13,2015,Mexico,Latin America and Caribbean,14,7.187,1.0205,0.9145,0.4818,0.1407,0.8144,0.2131
14,2015,United States,North America,15,7.119,1.3945,1.2471,0.546,0.4011,0.8618,0.1589
15,2015,Brazil,Latin America and Caribbean,16,6.983,0.9812,1.2329,0.4905,0.1457,0.697,0.1752
16,2015,Luxembourg,Western Europe,17,6.946,1.5639,1.2196,0.6158,0.2803,0.9189,0.378
17,2015,Ireland,Western Europe,18,6.94,1.336,1.3695,0.6178,0.459,0.8953,0.287
18,2015,Belgium,Western Europe,19,6.937,1.3078,1.2857,0.5845,0.2225,0.8967,0.2254
19,2015,United Arab Emirates,Middle East and Northern Africa,20,6.901,1.4273,1.1258,0.6416,0.2643,0.8093,0.3858
20,2015,United Kingdom,Western Europe,21,6.867,1.2664,1.2855,0.5963,0.5191,0.9094,0.3207
21,2015,Venezuela,Latin America and Caribbean,23,6.81,1.0442,1.256,0.4291,0.0584,0.7205,0.1107
22,2015,Singapore,Southeastern Asia,24,6.798,1.5219,1.02,0.5425,0.3111,1.0253,0.4921
23,2015,Panama,Latin America and Caribbean,25,6.786,1.0635,1.1985,0.5421,0.2443,0.7966,0.0927
24,2015,Germany,Western Europe,26,6.75,1.3279,1.2994,0.6148,0.2821,0.8919,0.2184
25,2015,Chile,Latin America and Caribbean,27,6.67,1.1072,1.1245,0.4413,0.3336,0.8586,0.1287
26,2015,Qatar,Middle East and Northern Africa,28,6.611,1.6904,1.0786,0.6404,0.3257,0.7973,0.5221
27,2015,France,Western Europe,29,6.575,1.2778,1.2604,0.5501,0.1233,0.9458,0.2065
28,2015,Argentina,Latin America and Caribbean,30,6.574,1.0535,1.2482,0.4497,0.1145,0.7872,0.0848
29,2015,Czech Republic,Central and Eastern Europe,31,6.505,1.179,1.2064,0.4636,0.1069,0.8448,0.0265
30,2015,Uruguay,Latin America and Caribbean,32,6.485,1.0617,1.2089,0.6036,0.2324,0.8116,0.2456
31,2015,Colombia,Latin America and Caribbean,33,6.477,0.9186,1.2402,0.5347,0.184,0.6908,0.0512
